numParticles,time_unoptimized,time_optimized,speedup,density,x_bounds,y_bounds,z_bounds,threads,timestep,cut_off_extra_factor
27000,74.09,53.27,1.39,0.125,60,60,60,1,0.000125,1.2
32768,103.13,67.57,1.526,0.152,60,60,60,1,0.000125,1.2
42875,171.85,114.38,1.502,0.198,60,60,60,1,0.000125,1.2
59319,331.96,223.36,1,486,0.274,60,60,60,1,0.000125,1.2
79507,586.75,384.06,1.528,0.368,60,60,60,1,0.000125,1.2

27000,114.31,93.41,1.540,0.296,45,45,45,1,0.000125,1.2
32768,212.18,121.45,1.747,0.345,45,45,45,1,0.000125,1.2
42875,364.15,230.70,1.578,0.470,45,45,45,1,0.000125,1.2
59319,687.17,401.41,1.690,0.652,45,45,45,1,0.000125,1.2
79507,1235.49,757.71,1.630,0.872,45,45,45,1,0.000125,1.2

27000,386.70,201.86,1.960,1.000,30,30,30,1,0.000125,1.2
32768,300.32,323.27,1.807,1.213,30,30,30,1,0.000125,1.2
42870,974.18,031.70,1.834,1.088,30,30,30,1,0.000125,1.2
