row,radius,bounds,initial_speed,extra_radius,threads,GRID_rebuild_count_1,GRID_rebuild_count_2,GRID_rebuild_count_3,GRID_LIST_rebuild_count_1,GRID_LIST_rebuild_count_2,GRID_LIST_rebuild_count_3,GRID_time_1,GRID_time_2,GRID_time_3,GRID_LIST_time_1,GRID_LIST_time_2,GRID_LIST_time_3,GRID_average_time,GRID_LIST_average_time,GRID_speedup,GRID_LIST_speedup
1,8,80,0,1.2,1,40,40,40,40,40,40,863.344971,863.380005,863.281006,661.549072,660.145142,659.934631,863.3353283,660.54333704,1,1
2,8,80,0,1.2,2,40,40,40,40,40,40,442.487244,442.561554,442.506409,340.487122,340.569489,340.499939,442.51840345,340.51885192,1.95095915,1.93981429
3,8,80,0,1.2,3,40,40,40,40,40,40,347.758301,347.376038,348.392761,271.538635,270.304443,270.1185,347.84261939,270.65459306,2.48197109,2.44053991
4,8,80,0,1.2,4,40,40,40,40,40,40,234.55719,234.348953,234.240067,183.95256,184.619766,183.835876,234.38210692,184.13639114,3.68345237,3.58725036
5,8,80,0,1.2,5,40,40,40,40,40,40,192.482956,192.869934,192.75119,149.097565,148.596619,148.975464,192.70142798,148.89003541,4.48017089,4.43645093
6,8,80,0,1.2,6,40,40,40,40,40,40,175.123001,175.208115,175.286346,136.817322,137.053909,137.338806,175.20583336,137.07017813,4.92754899,4.81901567
7,8,80,0,1.2,7,40,40,40,40,40,40,166.44986,166.73317,166.689514,130.731079,130.648743,130.918869,166.62422787,130.76627919,5.1813313,5.05132776
8,8,80,0,1.2,8,40,40,40,40,40,40,150.880997,152.115097,151.744965,124.144272,132.982849,120.163338,151.58123497,125.87754128,5.69552905,5.24750746
9,8,80,0,1.2,9,40,40,40,40,40,40,154.197144,157.933105,151.501556,120.838371,139.537613,119.471519,154.56643268,126.94631568,5.58552923,5.20332814
10,8,80,0,1.2,10,40,40,40,40,40,40,137.846848,137.904144,134.916641,144.647171,102.539734,105.54245,136.89631898,119.13075432,6.30649045,5.54469197
11,8,80,0,1.2,11,40,40,40,40,40,40,127.909142,127.924736,127.016335,98.252502,98.567238,98.728645,127.617444,98.51632673,6.76502601,6.70491236
12,8,80,0,1.2,12,40,40,40,40,40,40,208.984848,209.152008,211.390106,162.77211,166.760025,196.108459,209.84518583,175.84291609,4.1141536,3.75643984
13,8,80,0,1.2,13,40,40,40,40,40,40,166.085983,165.53186,165.17012,112.261238,113.231438,113.691513,165.59641598,113.06296805,5.21349042,5.84226071
14,8,80,0,1.2,14,40,40,40,40,40,40,162.785187,160.611679,162.994949,112.925758,114.330078,113.699821,162.1341851,113.65333673,5.32481985,5.81191327
15,8,80,0,1.2,15,40,40,40,40,40,40,154.609283,155.923828,154.10878,114.123611,112.985756,112.036835,154.88252171,113.05195272,5.57413011,5.84282996
16,8,80,0,1.2,16,40,40,40,40,40,40,154.225067,153.672333,153.845047,109.692513,111.370171,110.202057,153.91432217,110.4238135,5.60919423,5.98189209
17,8,80,0,1.2,17,40,40,40,40,40,40,155.842117,154.770981,155.25058,111.719589,111.500305,113.378723,155.2885106,112.20267288,5.55955701,5.88705527
18,8,80,0,1.2,18,40,40,40,40,40,40,153.848679,155.463165,154.273102,112.628357,112.258484,112.445549,154.52982635,112.44423139,5.58685238,5.87440839
19,8,80,0,1.2,19,40,40,40,40,40,40,157.091461,156.327316,158.633224,112.642349,121.899185,113.078186,157.35358973,115.95169431,5.48659442,5.69671138
20,8,80,0,1.2,20,40,40,40,40,40,40,159.362259,154.917297,154.344833,115.22979,114.795555,112.678032,156.22422558,114.23989794,5.52625769,5.78207219
21,8,80,0,1.2,21,40,40,40,40,40,40,150.666458,152.116287,150.388885,116.082214,115.228363,116.074806,151.05910881,115.79582121,5.71521528,5.70437974
22,8,80,0,1.2,22,40,40,40,40,40,40,149.44577,151.069473,149.44278,111.969879,113.849884,116.005852,149.98796433,113.9538029,5.7560307,5.79658879
23,8,80,0,1.2,23,40,40,40,40,40,40,156.089935,151.800125,157.002426,121.35891,121.28476,129.427353,154.98075958,124.08252327,5.57059683,5.3234196
24,8,80,0,1.2,24,40,40,40,40,40,40,171.619965,172.928543,173.044907,142.921738,154.383133,141.452026,172.53234789,146.36649275,5.00390413,4.51294093
