row,radius,bounds,initial_speed,extra_radius,threads,GRID_rebuild_count_1,GRID_rebuild_count_2,GRID_rebuild_count_3,GRID_LIST_rebuild_count_1,GRID_LIST_rebuild_count_2,GRID_LIST_rebuild_count_3,GRID_time_1,GRID_time_2,GRID_time_3,GRID_LIST_time_1,GRID_LIST_time_2,GRID_LIST_time_3,GRID_average_time,GRID_LIST_average_time,,c
1,12,120,0,1.1,24,40,40,40,40,40,40,175.054916,170.990768,169.208252,111.670395,112.484596,118.972961,171.76873881,114.42264767,,12
2,24,240,0,1.1,24,40,40,40,40,40,40,187.97406,176.97702,181.171661,112.732018,116.981682,124.941475,182.09730328,118.326658,,10
3,24,240,1,1.1,24,40,40,40,40,40,40,181.530502,188.825912,196.334396,137.354248,144.927353,134.540649,188.99360064,139.00996765,,9
4,6,60,0,1.2,24,40,40,40,40,40,40,180.182663,196.079132,169.19194,143.790604,145.122406,144.373627,182.15261972,144.42990767,,8
5,8,80,0,1.2,24,40,40,40,40,40,40,171.619965,172.928543,173.044907,142.921738,154.383133,141.452026,172.53234789,146.36649275,,6
6,24,240,0,1.2,24,40,40,40,40,40,40,182.194199,190.326797,189.640656,151.177963,147.18335,150.080002,187.42340143,149.48993501,,2
7,12,120,1,1.1,24,41,41,41,41,41,41,181.357971,188.689972,184.52832,148.807602,161.256973,148.977295,184.88313431,153.12494699,,11
8,24,240,1,1.2,24,40,40,40,40,40,40,181.147522,167.575897,178.124756,146.406433,152.159058,163.911407,175.71239254,154.33099915,,1
9,12,120,0,1.2,24,40,40,40,40,40,40,179.245667,175.324432,177.127197,153.874405,161.547134,166.630966,177.23967719,160.76969847,,4
10,12,120,1,1.2,24,40,40,40,40,40,40,192.641342,188.525833,202.223434,164.646255,157.655838,162.162369,194.54818907,161.5140721,,3
11,8,80,1,1.2,24,40,40,40,40,40,40,187.689453,193.687271,181.059784,163.044495,166.023788,161.69696,187.54975792,163.59840301,,5
12,6,60,1,1.2,24,80,80,80,80,80,80,206.085495,185.867584,190.116257,170.301193,165.630295,169.0979,194.21824597,168.35477494,,7
13,6,60,0,1,24,2000,2000,2000,2000,2000,2000,196.416245,200.497696,196.869934,279.611816,270.451508,272.298096,197.93638566,274.14900991,,24
14,24,240,0,1,24,2000,2000,2000,2000,2000,2000,206.527344,200.046997,199.418793,274.872955,277.348694,278.670258,202.02326584,276.96844113,,18
15,12,120,0,1,24,2000,2000,2000,2000,2000,2000,202.247101,198.940536,194.287079,279.265778,277.597717,276.297577,198.5184255,277.72301447,,20
16,8,80,0,1,24,2000,2000,2000,2000,2000,2000,195.276764,203.311676,192.100327,283.488342,276.034088,278.260773,196.95277588,279.27854409,,22
17,6,60,0,1.1,24,2000,2000,2000,2000,2000,2000,196.652603,200.130096,201.774048,283.215118,282.543304,274.397675,199.53033857,280.08070607,,16
18,24,240,1,1,24,2000,2000,2000,2000,2000,2000,201.234802,200.796127,197.3936,283.905212,284.920929,277.058746,199.81555117,281.98324649,,17
19,8,80,0,1.1,24,2000,2000,2000,2000,2000,2000,196.180069,198.745575,200.847534,284.960022,285.608337,279.959961,198.60023075,283.520673,,14
20,12,120,1,1,24,2000,2000,2000,2000,2000,2000,202.038025,203.341049,207.688354,295.317719,292.562927,286.922058,204.37008762,291.62183776,,19
21,8,80,1,1,24,2000,2000,2000,2000,2000,2000,204.007462,204.151657,207.657562,293.47406,294.961517,299.569397,205.27916493,296.01303125,,21
22,6,60,1,1,24,2000,2000,2000,2000,2000,2000,210.909576,209.039337,210.03627,296.478088,298.621155,296.848175,209.99645106,297.31727715,,23
23,8,80,1,1.1,24,2000,2000,2000,2000,2000,2000,203.183167,203.367157,213.842087,302.498596,302.51767,308.003754,206.8574695,304.35103292,,13
24,6,60,1,1.1,24,2000,2000,2000,2000,2000,2000,211.537033,205.93721,208.991043,306.501068,303.63559,309.231873,208.83430979,306.4646948,,15
