row,radius,bounds,initial_speed,extra_radius,threads,LINKED_CELLS_rebuild_count_1,LINKED_CELLS_rebuild_count_2,LINKED_CELLS_rebuild_count_3,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_1,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_2,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_3,LINKED_CELLS_time_1,LINKED_CELLS_time_2,LINKED_CELLS_time_3,LINKED_CELLS+NEIGHBOR_LIST_time_1,LINKED_CELLS+NEIGHBOR_LIST_time_2,LINKED_CELLS+NEIGHBOR_LIST_time_3,LINKED_CELLS_average_time,LINKED_CELLS+NEIGHBOR_LIST_average_time,LINKED_CELLS_speedup,LINKED_CELLS+NEIGHBOR_LIST_speedup
1,8,80,0,1,1,2000,2000,2000,2000,2000,2000,867.430344,867.336753,867.460936,1394.72301,1395.455448,1394.670391,867.409345942,1394.9496623545,1,1
2,8,80,0,1,2,2000,2000,2000,2000,2000,2000,442.93978,441.084877,441.197538,708.043756,708.066569,708.089786,441.7415477259,708.066703916,1.963612774,1.9700822742
3,8,80,0,1,3,2000,2000,2000,2000,2000,2000,325.372959,325.783431,325.484024,518.180672,517.770817,517.678942,325.5468508227,517.8768562639,2.6644685511,2.693593362
4,8,80,0,1,4,2000,2000,2000,2000,2000,2000,231.249914,231.203658,231.252581,367.489255,368.283876,367.47145,231.2353854241,367.7483888146,3.7511964025,3.7932176042
5,8,80,0,1,5,2000,2000,2000,2000,2000,2000,200.055441,199.79104,199.768848,317.887892,318.007476,318.636572,199.8718187316,318.1774828027,4.3398281531,4.3841872469
6,8,80,0,1,6,2000,2000,2000,2000,2000,2000,165.058298,165.150365,165.237621,262.420394,262.632519,262.073138,165.1487775634,262.3754516493,5.2522904422,5.3166165264
7,8,80,0,1,7,2000,2000,2000,2000,2000,2000,153.692053,153.705947,153.863713,244.791808,244.581789,244.645047,153.7539240439,244.6728971477,5.6415428181,5.7012839535
8,8,80,0,1,8,2000,2000,2000,2000,2000,2000,125.196026,125.179667,125.437732,196.961739,197.947816,196.949956,125.2711972292,197.287057911,6.9242520637,7.0706597641
9,8,80,0,1,9,2000,2000,2000,2000,2000,2000,122.490142,122.855485,122.709385,195.650808,197.118415,196.275153,122.685095874,196.3490462487,7.070209627,7.104438188
10,8,80,0,1,10,2000,2000,2000,2000,2000,2000,112.672916,115.745476,114.410188,179.576392,185.488213,187.826775,114.2831167651,184.3298267893,7.5900042849,7.5676828143
11,8,80,0,1,11,2000,2000,2000,2000,2000,2000,106.283693,107.232473,102.913824,196.372251,188.101262,192.395954,105.4929410493,192.3194814576,8.2224396942,7.2532935914
12,8,80,0,1,12,2000,2000,2000,2000,2000,2000,180.756464,179.771824,179.809635,267.740629,268.105783,268.128334,180.1132170061,267.9916409076,4.8159116824,5.205198407
13,8,80,0,1,13,2000,2000,2000,2000,2000,2000,145.662559,144.540183,145.182026,219.976515,219.593377,219.920643,145.1289843203,219.8302432874,5.9768167607,6.3455766663
14,8,80,0,1,14,2000,2000,2000,2000,2000,2000,144.516586,143.993681,144.303196,216.385181,218.717906,216.726845,144.2713140497,217.2790788403,6.0123479962,6.4200827332
15,8,80,0,1,15,2000,2000,2000,2000,2000,2000,140.662505,141.222233,141.433282,213.284522,214.850228,213.43005,141.106381457,213.8560996242,6.1472014021,6.522842532
16,8,80,0,1,16,2000,2000,2000,2000,2000,2000,121.966855,122.251225,122.178853,184.909643,185.416876,185.01988,122.1323706107,185.1155944945,7.1022067418,7.5355599628
17,8,80,0,1,17,2000,2000,2000,2000,2000,2000,120.205425,120.595279,120.856443,183.015533,183.159637,182.672515,120.5526791229,182.9493424254,7.1952722432,7.6247864237
18,8,80,0,1,18,2000,2000,2000,2000,2000,2000,121.386395,121.390628,121.625452,185.458609,185.092153,185.637707,121.4675430332,185.3962953735,7.1410792075,7.5241506824
19,8,80,0,1,19,2000,2000,2000,2000,2000,2000,121.309336,121.893971,121.390932,187.278787,185.581278,185.403273,121.5316879648,186.0896991985,7.1373101161,7.4961143382
20,8,80,0,1,20,2000,2000,2000,2000,2000,2000,120.355359,120.679468,119.323487,186.689393,184.865968,186.444865,120.1208294269,186.0018308764,7.2211401643,7.4996555452
21,8,80,0,1,21,2000,2000,2000,2000,2000,2000,115.719702,116.273926,115.766798,175.50943,175.519167,174.568058,115.9204135281,175.1994528884,7.4828006521,7.9620663156
22,8,80,0,1,22,2000,2000,2000,2000,2000,2000,110.209219,109.143946,110.282739,164.352385,162.32041,163.004462,109.8798668583,163.2279353028,7.8941608754,8.5460228347
23,8,80,0,1,23,2000,2000,2000,2000,2000,2000,112.182061,113.894643,111.392103,162.917645,164.884823,161.715688,112.4944519003,163.1779475025,7.7106855608,8.5486408164
24,8,80,0,1,24,2000,2000,2000,2000,2000,2000,115.462299,116.285226,121.208135,163.539851,163.268537,166.435704,117.679236722,164.420945143,7.3709633926,8.4840143763
