row,radius,bounds,initial_speed,extra_radius,threads,LINKED_CELLS_rebuild_count_1,LINKED_CELLS_rebuild_count_2,LINKED_CELLS_rebuild_count_3,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_1,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_2,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_3,LINKED_CELLS_time_1,LINKED_CELLS_time_2,LINKED_CELLS_time_3,LINKED_CELLS+NEIGHBOR_LIST_time_1,LINKED_CELLS+NEIGHBOR_LIST_time_2,LINKED_CELLS+NEIGHBOR_LIST_time_3,LINKED_CELLS_average_time,LINKED_CELLS+NEIGHBOR_LIST_average_time,LINKED_CELLS_speedup,LINKED_CELLS+NEIGHBOR_LIST_speedup
1,8,80,0,1.2,1,40,40,40,40,40,40,862.968273,865.235242,863.300731,610.313699,611.349658,611.990614,863.835326967,611.2183808176,1,1
2,8,80,0,1.2,2,40,40,40,40,40,40,437.12153,437.146225,437.295088,309.906825,310.099911,310.019261,437.1876210546,310.008675779,1.9758915517,1.9716170178
3,8,80,0,1.2,3,40,40,40,40,40,40,320.594863,320.689368,320.503444,231.621582,232.006656,231.465189,320.5959006528,231.6979207181,2.694467787,2.6379968319
4,8,80,0,1.2,4,40,40,40,40,40,40,226.47235,226.56731,226.575171,163.508175,164.154238,163.5666,226.5382818192,163.7432642694,3.8131980168,3.7327848785
5,8,80,0,1.2,5,40,40,40,40,40,40,195.002575,195.096907,195.495183,141.553851,142.089469,141823,195.1983384098,141.8222752399,4.4254235666,4.309748802
6,8,80,0,1.2,6,40,40,40,40,40,40,160.482833,160.394928,160.45917,116.590425,116.588487,117.152386,160.4456479652,116.7774008504,5.3839748097,5.2340467964
7,8,80,0,1.2,7,40,40,40,40,40,40,148.869255,149.432691,149.218623,108.493921,108.346013,108.422211,149.1737037526,108.4207318199,5.7908016308,5.6374677662
8,8,80,0,1.2,8,40,40,40,40,40,40,121.025031,120.731389,120.384542,89.335181,89.113624,89.747413,120.7139378461,89.3991250645,7.1560529163,6.8369615517
9,8,80,0,1.2,9,40,40,40,40,40,40,117.644131,117.989768,118.408277,86.709906,86.047925,86.256657,118.014472239,86.338604869,7.3197406265,7.0793173198
10,8,80,0,1.2,10,40,40,40,40,40,40,110.203922,109.09696,107.992328,79.305539,80.214933,79.445308,109.1014726639,79.6562635233,7.9177238022,7.6731992411
11,8,80,0,1.2,11,40,40,40,40,40,40,99.568344,98.323722,101.750236,74.361606,74.466554,74.636675,99.8908069859,74.4883645647,8.6477960588,8.2055551144
12,8,80,0,1.2,12,40,40,40,40,40,40,176.444952,175.447567,176.766928,122.307093,122.650084,122.772425,176.2207107456,122.576692243,4.902007961,4.9864160113
13,8,80,0,1.2,13,40,40,40,40,40,40,139.929266,141.508163,142.337791,86.856253,87.632814,85.065252,141.2619392307,86.524786184,6.1151314478,7.0640842673
14,8,80,0,1.2,14,40,40,40,40,40,40,139.885518,139.522645,139.21145,90.255459,90.525356,90.339368,139.5401428801,90.3734647059,6.1905865161,6.7632505051
15,8,80,0,1.2,15,40,40,40,40,40,40,137.209636,135.927609,138.040672,89.864113,89.31393,89.843783,137.0620616435,89.6743037164,6.3025122825,6.8159813401
16,8,80,0,1.2,16,40,40,40,40,40,40,117.418576,117.801513,117.444641,77.592709,77.850574,77.720442,117.5550398105,77.7213129645,7.3483478748,7.8642312836
17,8,80,0,1.2,17,40,40,40,40,40,40,115.999125,115.497071,115.886699,76.70381,76.399229,77.078517,115.7944981644,76.7276882732,7.4600722889,7.9660731944
18,8,80,0,1.2,18,40,40,40,40,40,40,116.8162,116.805858,116.938144,77.623095,77.950513,77.886448,116.8534161071,77.8201476406,7.3924696063,7.8542433977
19,8,80,0,1.2,19,40,40,40,40,40,40,116.455429,116.051645,117.067059,78.164877,78.893738,78.488171,116.5254586685,78.5161615613,7.4132754922,7.7846187162
20,8,80,0,1.2,20,40,40,40,40,40,40,115.402825,116.014696,115.504448,79.000716,78.753013,78.515367,115.6409662328,78.7566146222,7.4699767315,7.7608513742
21,8,80,0,1.2,21,40,40,40,40,40,40,111.671187,111.720359,111.06375,79.033166,77.964619,78.526517,111.4854985863,78.5093137064,7.7484097745,7.7852977177
22,8,80,0,1.2,22,40,40,40,40,40,40,104.343084,104.429543,104.624536,76.395328,77.317999,76.818878,104.465787323,76.8449936057,8.2690740108,7.9539128333
23,8,80,0,1.2,23,40,40,40,40,40,40,109.651147,106.919854,108.16725,80.465975,78.652912,81.03783,108.2518409241,80.0586942809,7.979867313,7.6346283974
24,8,80,0,1.2,24,40,40,40,40,40,40,116.150821,110.404408,111.796424,86.940473,86.326689,84.364243,112.8104412189,85.8841634143,7.6574058007,7.1167763243
