row,rebuild,iterations,dichte,particles_per_cell,cell_count,radius,bounds,initial_speed,extra_radius,threads,LINKED_CELLS_rebuild_count_1,LINKED_CELLS_rebuild_count_2,LINKED_CELLS_rebuild_count_3,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_1,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_2,LINKED_CELLS+NEIGHBOR_LIST_rebuild_count_3,cr1,cr2,cr3,cn1,cn2,cn3,cb1,cb2,cb3,cb_a,cn_a,cr_a,cb_s,cn_s,cr_s,mr1,mr2,mr3,mn1,mn2,mn3,mb1,mb2,mb3,mb_a,mn_a,mr_a,mb_s,mn_s,mr_s,fb_s,fn_s,fr_s,iterations_until_mix_is_better
3,r,6979,0.064,6,9261,4,100,0,1.2,11,6979,6979,6979,6979,6979,6979,68.159351,67.193852,67.39548,52.377873,52.828995,51.725911,-0.043549,-0.01376,-0.003273,0,52.3128861164375,67.5841736892337,0,0.007496830913792,0.00968532153758,125.186155,127.695084,126.398673,39.178851,39.048199,39.543671,0.180422,0.094359,0.011456,0.117738352433125,39.257466920235,126.430787940296,0.099636740282385,0.00560901813812,0.01810161215074,0,1.3365674221735,0.535052980747033,4.45822314671335
4,r,6468,0.064,9,6859,5,100,0,1.2,11,6468,6468,6468,6468,6468,6468,77.920815,76.946564,77.179767,63.235319,63.164037,62.515583,0.049084,0.106543,-0.001315,0.067726533217541,62.9724787956321,77.350163877966,0.055776256838269,0.00972703761596,0.011950276379272,133.962196,135.373896,137.86738,45.111603,44.314577,44.292262,0.203789,0.011944,0.160879,0.150060730259452,44.574443099887,135.744092742466,0.129093661755941,0.006869395758408,0.020967068503511,0.432060382203099,1.41599610184838,0.569954563618193,3.15532616531756
5,r,7384,0.064,18,3375,6,100,0,1.2,11,7384,7384,7384,7384,7384,7384,143.10266,141.755546,142.165181,125.025564,124.583872,124.626307,0.124685,0.108127,-0.014188,0.095285181348763,124.745406344935,142.34224578997,0.076018357481958,0.016883397150696,0.019266823866805,262.362618,256.444145,258.824192,75.187915,76.26743,75.726111,0.211938,0.172604,0.08699,0.165607081933916,75.7284343956228,259.221723107875,0.130518890680233,0.010234705040456,0.035088191253683,0.582431838684568,1.64962224939146,0.5490970944472,2.37962100283035
6,r,4184,0.064,29,2197,8,100,0,1.2,11,4184,4184,4184,4184,4184,4184,145.233401,145.520313,144.925759,134.253195,134.233055,134.563551,0.00744,0.105485,0.064816,0.071609014053167,134.350018831497,145.22669392295,0.036907822346522,0.032100982504768,0.034701191706645,265.743454,264.63853,272.711455,91.987652,92.030407,91.811756,0.114368,0.258891,0.262541,0.222884399024846,91.9433203534697,267.721666781397,0.158935371441204,0.02192695098122,0.063949027583642,0.232219058676786,1.46399663739209,0.542638301438723,2.87475380917616
7,r,1908,0.064,48,1331,10,100,0,1.2,11,1908,1908,1908,1908,1908,1908,98.621223,101.306765,105.722763,98.507073,94.588572,94.134725,0.157275,0.155817,0.084807,0.136877792650963,95.7635766438231,101.925640995671,0.083501409219909,0.050145096408585,0.053376383431054,204.988523,208.246054,204.66116,66.940412,67.839793,68.095758,0.192563,0.24526,0.207328,0.216192719699346,67.6271359012223,205.971603205262,0.108297905600991,0.035349209848727,0.107894814098355,0.771034386644176,1.4185634310689,0.49470758976791,3.68470185593422
8,r,1144,0.064,87,729,12,100,0,1.2,11,1144,1144,1144,1144,1144,1144,152.580419,153.333436,156.088443,150.927651,154.888874,151.769254,0.233375,0.133502,0.304776,0.234645182353413,152.538110631499,154.008147940237,0.10011018431502,0.133248876158483,0.134534998038393,261.587654,261.719852,264.604013,85.9386,84.484314,83.347008,0.479569,0.461568,0.457157,0.466198801311915,84.5966233064548,262.640860842222,0.236824643795809,0.073604920826897,0.229374157516107,0.422718610320535,1.81032565026265,0.586530756102925,1.59008836604585
9,r,391,0.064,186,343,14,100,0,1.2,11,391,391,391,391,391,391,159.470551,163.434736,160.509516,158.025584,159.500625,159.598882,0.454728,0.367405,0.376458,0.401449296828794,159.043325029777,161.147007722956,0,0.406774040340892,0.412168098528532,276.420015,278.164762,278.607578,65.203375,65.684515,65.447093,0.934114,0.955169,0.992919,0.961041956093836,65.4452891208285,277.732390398949,0.251371831881386,0.16534422349932,0.70967012421245,0,2.4601648109138,0.580788290878007,1.23225055453337
10,r,358,0.064,186,343,16,100,0,1.2,11,358,358,358,358,358,358,167.377983,166.358633,166.645062,165.884649,165.12944,166.203153,0.570547,0.604952,0.486963,0.556364318554548,165.739692284526,166.794445007181,0.09071143147156,0.462698397663786,0.465652887082988,284.587424,287.200831,285.469827,86.368175,86.140109,86.497973,0.994754,0.990868,0.980121,0.988600372341457,86.33554572031,285.754755780463,0.190936071478371,0.239067073803834,0.797664300863086,0.47508797457287,1.93543339240205,0.583770499167562,1.48463733992836
11,r,316,0.064,186,343,18,100,0,1.2,11,316,316,316,316,316,316,168.222359,169.493433,169.065862,167.828847,168.394047,167.824226,0.644373,0.444591,0.571277,0.559534071390057,168.015919665257,168.928043449919,0.025030867013774,0.531607573313865,0.534503204376283,290.185942,288.086801,287.5908,106.080904,107.885297,106.680933,1.187889,1.21344,1.123652,1.17560065881588,106.885011372013,288.623372863599,0.263068048641965,0.335585430835546,0.912532610173916,0.095149780229832,1.58411994224618,0.585736003751597,1.92850359157484
12,r,272,0.064,186,343,20,100,0,1.2,11,272,272,272,272,272,272,168.28654,168.097217,166.984025,167.19471,167.270743,167.727082,0.585677,0.777873,0.757214,0.712150965796345,167.397676758063,167.79024456497,0.095626635172088,0.615075740930873,0.616524330624257,285.644254,286.573666,288.126716,121.584,122.018447,122.839434,1.355546,1.236983,1.518347,1.37513750982874,122.148402922746,286.783373739855,0.321970586470713,0.445657805951722,1.05316692335803,0.297004258122772,1.38015251324354,0.58540039280617,2.57731032306296
13,r,23,0.064,512,125,22,100,0,1.2,11,23,23,23,23,23,23,171.353111,171.318154,171.218462,171.142153,171.330054,171.190077,7.506263,7.50235,7.538646,7.5157706027833,171.220779891913,171.296585166383,0.071188122619688,7.44113678586951,7.44458248016361,296.657616,296.69849,296.467511,67.441409,67.252068,67.545315,13.237489,13.363226,13.406962,13.3360858103323,67.4130399765286,296.607889408232,0.460094737700496,2.45804337119074,12.8759910726318,0.154724922470269,3.02726016679878,0.578175492524783,1.08996724333299
